Title,Address,lat,lng,level,price,location,Complete_Address,Zip_code
"Apartemen Puri Mansion 1BR Full Furnished Low Floor, Kembangan, Jakarta Barat","Kembangan, Jakarta Barat",-6.194530899999999,106.74120700000003,"DKI Jakarta,Jakarta Barat,Kembangan",54000000,"-6.194530899999999,106.74120700000003","Jalan Jamrud 5, RW 07, Meruya Utara, Kembangan, Jakarta Barat, JKT, 11620, NKRI",11620
"Rumah Di Citra 8 Aeroville Kalideres Jakarta, Kalideres, Jakarta Barat","Kalideres, Jakarta Barat",-6.14601,106.71100000000001,"DKI Jakarta,Jakarta Barat,Kalideres",80000000,"-6.14601,106.71100000000001","RW 11, Kalideres, Pegadungan, Kalideres, Jakarta Barat, JKT, 11840, NKRI",11840
"Apartemen The Grove By Prasetyo Property, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.237116899999999,106.82358999999997,"DKI Jakarta,Jakarta Selatan,Kuningan",192000000,"-6.237116899999999,106.82358999999997","Badan Tenaga Atom Nasional, Kuningan Barat Raya (KH. Abd. Rohim), RW 02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12940, NKRI",12940
"Apartment Gandaria Heights, Gandaria, Jakarta Selatan","Gandaria, Jakarta Selatan",-6.2454141,106.78904,"DKI Jakarta,Jakarta Selatan,Gandaria",336000000,"-6.2454141,106.78904","Jalan Gandaria I, RW 10, Kramat Pela, Kebayoran Baru, Jakarta Selatan, JKT, 12120, NKRI",12120
"The Peak, 3 Bedroom ATP3A001, Sudirman, Jakarta Selatan","Sudirman, Jakarta Selatan",-6.202438000000001,106.82345050000004,"DKI Jakarta,Jakarta Selatan,Sudirman",637560000,"-6.202438000000001,106.82345050000004","Stasiun Sudirman, Jalan Kendal, RW 06, Menteng, Jakarta Pusat, JKT, 10310, NKRI",10310
"KODE :11255(Pp) Rumah Sunter, Luas 18x20 Meter, Sunter, Jakarta Utara","Sunter, Jakarta Utara",-6.137170999999999,106.8652366,"DKI Jakarta,Jakarta Utara,Sunter",200000000,"-6.137170999999999,106.8652366","Jalan Sunter Agung Utara D1, RW 18, Sunter Agung, Tanjung Priok, Jakarta Utara, JKT, 14350, NKRI",14350
"1 BR Apartment near Kota Kasablanka, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.175445,106.82800429999998,"DKI Jakarta,Jakarta Selatan,Kuningan",120000000,"-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Dijual atau sewa unit Aston Rasuna Menteng, Setiabudi, Jakarta Selatan","Setiabudi, Jakarta Selatan",-6.2198734,106.83279979999998,"DKI Jakarta,Jakarta Selatan,Setiabudi",132000000,"-6.2198734,106.83279979999998","Rumah Sakit MMC, Epicentrum Utama Raya, RW 05, Setiabudi, Karet Kuningan, Setiabudi, Jakarta Selatan, JKT, 12920, NKRI",12920
"RUMAH DI TAMAN KOTA CENGKARENG LT 100 m2, HUB: 081377338080 IRUL PR-27860, Cengkareng, Jakarta Barat","Cengkareng, Jakarta Barat",-6.1508258,106.74400760000003,"DKI Jakarta,Jakarta Barat,Cengkareng",35000000,"-6.1508258,106.74400760000003","RT 05, RW 06, Kapuk, Cengkareng, Jakarta Barat, JKT, 11720, NKRI",11720
"Gandaria Heights Apartment, 3 BR 117sqm Fully Furnished, Gandaria, Jakarta Selatan","Gandaria, Jakarta Selatan",-6.3298141,106.8161597,"DKI Jakarta,Jakarta Selatan,Gandaria",396000000,"-6.3298141,106.8161597","Tower Komunikasi, Jalan Gandaria, RW 02, Jagakarsa, Jakarta Selatan, JKT, 12620, NKRI",12620
"Good Apartment With Nice 3 Bedrooms at Simprug Terrace, Simprug, Jakarta Selatan","Simprug, Jakarta Selatan",-6.231294,106.78789899999992,"DKI Jakarta,Jakarta Selatan,Simprug",349896000,"-6.231294,106.78789899999992","Jalan Simprug Garden II, RW 03, Grogol Selatan, Kebayoran Lama, Jakarta Selatan, JKT, 12220, NKRI",12220
"(DV/RA) Rumah Rapih nan Bersih Siap huni, BSD Griya loka, BSD Griya Loka, Tangerang","BSD Griya Loka, Tangerang",-6.3052114,106.68011200000001,"Banten,Tangerang,BSD Griya Loka",50000000,"-6.3052114,106.68011200000001","RM Pagi Sore, Rawa Buntu Utara, BSD City, Rawa Buntu, Tangerang Selatan, Banten, 15321, NKRI",15321
"rmh mewah cluster fully furnish cocok untuk expat, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",None,None,"DKI Jakarta,Jakarta Utara,Kelapa Gading",275000000,,,
"Old Colonial House At Kebayoran Baru, Kebayoran Baru, Jakarta Selatan","Kebayoran Baru, Jakarta Selatan",None,None,"DKI Jakarta,Jakarta Selatan,Kebayoran Baru",360000000,,,
"Apartemen Nyaman di Kemang Village Residence, Kemang, Jakarta Selatan","Kemang, Jakarta Selatan",-6.266939,106.82409800000005,"DKI Jakarta,Jakarta Selatan,Kemang",707040000,"-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
"Apartment Sahid Sudirman nyaman dan elegant, Mampang, Jakarta Selatan","Mampang, Jakarta Selatan",-6.233795,106.83356300000003,"DKI Jakarta,Jakarta Selatan,Mampang",301653600,"-6.233795,106.83356300000003","Lapangan Tenis Patra Kuningan, Jalan Taman Patra Kuningan, RW 04, Kuningan Timur, Setiabudi, Jakarta Selatan, JKT, 15920, NKRI",15920
