Address,lat,lng,price,Installment,level,title,location,Complete_Address,Zip_code
"Cinere, Jakarta Selatan",-6.332923,106.77838399999996,2150000000,12340000,"DKI Jakarta,Jakarta Selatan,Cinere","Rumah lokasi strategis dekat pintu tol desari, Cinere, Jakarta Selatan","-6.332923,106.77838399999996","Pangkalanjati, Jabar, 16514, NKRI",16514
"Jati Padang, Jakarta Selatan",-6.2860176999999995,106.83258719999999,13000000000,74600000,"DKI Jakarta,Jakarta Selatan,Jati Padang","Rumah Di jalan jati padang, Jati Padang, Jakarta Selatan","-6.2860176999999995,106.83258719999999","Jalan Raya Ragunan, RW 07, Pasar Minggu, Jati Padang, Pasar Minggu, Jakarta Selatan, JKT, 12540, NKRI",12540
"Senopati, Jakarta Selatan",-6.175445,106.82800429999998,6200000000,35580000,"DKI Jakarta,Jakarta Selatan,Senopati","District 8 Apartment - 2BR. Feel Free to Negotiate, Senopati, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Jagakarsa, Jakarta Selatan",None,None,1500000000,8610000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Modern Mewah di Jagakarsa Dekat Stasiun Lenteng Akses 2 Mobil, Jagakarsa, Jakarta Selatan",,,
"Senopati, Jakarta Selatan",-6.2301853,106.80572630000006,9000000000,51640000,"DKI Jakarta,Jakarta Selatan,Senopati","District 8 Apartment - 3BR + 1 with Private Lift, Senopati, Jakarta Selatan","-6.2301853,106.80572630000006","Jalan Purnawarman, RW 02, Selong, Kebayoran Baru, Jakarta Selatan, JKT, 12110, NKRI",12110
"Jagakarsa, Jakarta Selatan",None,None,1350000000,7750000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Minimalis Security 24jam Dekat Stasiun KRL dan Tol Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",None,None,1375000000,7890000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Minimalis Mewah LT 91m Dekat Tol Akses 2 Mobil di Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Pasar Minggu, Jakarta Selatan",-6.295894000000001,106.84502399999997,2500000000,14350000,"DKI Jakarta,Jakarta Selatan,Pasar Minggu","Rumah layak huni dalam kompleks di pasar minggu, jalan lebar, bbs banjir, dekat simatupang dan tol jorr, Pasar Minggu, Jakarta Selatan","-6.295894000000001,106.84502399999997","RT 05, RW 10, Pejaten Timur, Pasar Minggu, Jakarta Selatan, JKT, 12530, NKRI",12530
"Kebon Jeruk, Jakarta Barat",-6.186414999999999,106.83423800000003,2300000000,13200000,"DKI Jakarta,Jakarta Barat,Kebon Jeruk","Kebun Jeruk .....rumah tua hitung tanah di dalam kompleks....jalan lebar dan dekat tol dalam kota, Kebon Jeruk, Jakarta Barat","-6.186414999999999,106.83423800000003","Mandiri, Jalan Menteng Kecil I, RW 09, Kebon Sirih, Menteng, Jakarta Pusat, JKT, 10330, NKRI",10330
"Pejaten, Jakarta Selatan",-6.266939,106.82409800000005,3600000000,20660000,"DKI Jakarta,Jakarta Selatan,Pejaten","Rumah minimalis  dalam townhouse di pejaten barat, 2 mnt dari kemang, jalan lebar dan bebas banjir, Pejaten, Jakarta Selatan","-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
